Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.8942499756813049,0.9340277910232544,0.27020007371902466,0.17453384399414062
2,0.9610000252723694,0.9670138955116272,0.11627763509750366,0.12383896857500076
3,0.9800000190734863,0.9722222089767456,0.06492666155099869,0.0774931013584137
4,0.9887499809265137,0.984375,0.03709946945309639,0.06072184070944786
5,0.9940000176429749,0.9756944179534912,0.022269723936915398,0.0972474068403244
6,0.996999979019165,0.9392361044883728,0.01142252329736948,0.18795901536941528
7,0.9887499809265137,0.9756944179534912,0.026296889409422874,0.09974971413612366
8,0.9959999918937683,0.9809027910232544,0.013885445892810822,0.09714645147323608
9,0.9987499713897705,0.9861111044883728,0.005825109779834747,0.09147223830223083
10,0.999750018119812,0.9826388955116272,0.0013146557612344623,0.09916387498378754
11,1.0,0.9826388955116272,0.0003071899991482496,0.1373150497674942
12,0.999750018119812,0.9826388955116272,0.003001067554578185,0.12106231600046158
13,0.999750018119812,0.9878472089767456,0.0019999369978904724,0.0975826159119606
14,1.0,0.9861111044883728,0.00014202891907189041,0.1274855136871338
15,1.0,0.9878472089767456,5.9214387874817476e-05,0.09048143029212952
16,1.0,0.9878472089767456,4.122118480154313e-05,0.11189309507608414
17,1.0,0.9878472089767456,2.9204873499111272e-05,0.09970227628946304
18,1.0,0.9878472089767456,4.384226485854015e-05,0.08614280819892883
19,1.0,0.9913194179534912,2.710867192945443e-05,0.06268125027418137
20,1.0,0.9878472089767456,1.8856242604670115e-05,0.0900738388299942
21,1.0,0.9878472089767456,1.5456262190127745e-05,0.11585884541273117
22,1.0,0.9861111044883728,0.0001258189877262339,0.11213382333517075
23,0.9794999957084656,0.9878472089767456,0.059211790561676025,0.04552437737584114
24,0.9937499761581421,0.9878472089767456,0.01708807237446308,0.03754952549934387
25,0.9972500205039978,0.9878472089767456,0.011835586279630661,0.09104395657777786
26,0.9990000128746033,0.9809027910232544,0.003511774353682995,0.09919999539852142
27,0.9994999766349792,0.9895833134651184,0.0015432286309078336,0.06928164511919022
28,0.999750018119812,0.9878472089767456,0.0010045339586213231,0.08982011675834656
29,0.999750018119812,0.9878472089767456,0.0009988361271098256,0.09194472432136536
30,0.9994999766349792,0.9913194179534912,0.001021599629893899,0.0817849338054657
31,1.0,0.9913194179534912,6.19607453700155e-05,0.08137493580579758
32,1.0,0.9913194179534912,0.00010979791113641113,0.08760741353034973
